aspect,np,review
自由度,1,割と痒い所に手が届くシステムを採用しているため、戦闘とクエストを思う存分楽しめます
自由度,1,ゲームの言語を英語にするとアップデートで止まるのでキャンセルしてプロパティから整合性チェックをすればOK。
自由度,1,ステ振り直しや外見変更は序盤終わったら好きなようにできるので、気軽に振り直しできる。
自由度,-1,自由度高く動きまわれるわりに、難易度高めのところに入り込んでしまうと全然勝てない
自由度,1,かなり自由に組めるので組み合わせ考えてるだけでも楽しい
自由度,1,戦闘の自由度が高い
自由度,1,行動選択を楽しむゲームだと思いました
自由度,1,自由に行きましょう！
自由度,1,自由度が高く、自分だけの冒険を楽しめる点が魅力です
自由度,1,ゲームの自由度等どこをとっても素晴らしい要素しかない
自由度,1,ステータス能力の再度振り分けもできるので、初めにわからなくてもそこまで問題はない
自由度,1,ゲームの進め方がわかってくると、戦闘もクエストも自分の好きなように、
自由度,1,クエストに対して柔軟な選択が可能です。例えば敵を殺す、見逃すやあいてに敬意を表す、脅す、怯えるなどの選択が可能です。
自由度,1,ビルドが結構豊富で途中何度も変更した
自由度,1,自由度が高く、戦略と運のバランスがとれた良作
自由度,1,冒険の自由度がかなり高く、戦闘も地形や位置取りを工夫することで楽になったりと楽しめました。
自由度,-1,若干のビルド自由度を引いたのが本作
自由度,1,ビルドの自由度もあるし、行動の自由度も高い。RPGでよくある「悪役が言葉巧みに言い逃れ」をしても暴力で解決できるし、見逃す事もできる。「どうみても怪しい依頼人」の依頼を受ける前に依頼人を亡き者にできるし、受けた後に裏切る事も勿論できるし、素直に騙される事もできる。閉ざされた部屋のカギを見つけても開けられるし、イベントをこなして部屋の主に開けてもらう事もできるし、なんならドアは力で壊せる事もある。
自由度,0,一応裏技的なやり方として、他のプレイヤーと一緒に遊ぶ機能を利用してキャラメイクしたキャラ4人でパーティーを組んで始めるということもできなくはないです
自由度,-1,レベリングはできないのでレベルを上げて僕の考えた最強のキャラにするのが好きな人には向かない
自由度,-1,選択肢間違うと死ぬし最初の位置取り間違えただけでも全滅不可避だったりで、セーブロード繰り返してるのでプレイ時間はもっと長いと思います
自由度,1,プレイヤー側の自由度が高いこともあり
自由度,1,行動の自由度の高さから普通に楽しめると思います
自由度,1,二人旅でローンウルフを付けるのをオススメする
自由度,1,ビルドはCRPG系程自由ではないが、色々組み合わせて独特な仕上がりにすることは可能。大体２方向性くらいは自由に組めるし弱くない。
自由度,1,型にハマらない自由な戦闘が行える 自分次第無傷で戦闘に勝つことも無策に突っ込んで全滅もある点 つまり自分だけの戦闘の仕方でクリア可能 クエスト進め方が複数あり 監獄島から脱出するクエストで、正規ルートではボスを倒さないと進めないが、テレポーテーションのスキルがあれば、スルーして戦闘なしでクエストクリア完了
自由度,1,自由度の高い戦闘と探索の要素については大満足なゲームだと思います。
自由度,1, 結構自由度がある。ストーリーや仲間が選択次第で大きく変動するので細かいセーブが必要。
自由度,1,キャラメイクできる自由があった
自由度,-1,選択肢もいっぱい出てくるけど序盤で選択することをほぼ諦めた。
自由度,1,自由度が高くいろいろな選択や攻略が出来る。
自由度,1,自由にステータスリセットできます。魔術師プレイも戦士プレイも自由に変更できる
自由度,1,自由に気ままにやるのも良い
自由度,1,プレイヤースキルが０でもプレイ可能です
自由度,1,選択肢によって変化するストーリー
自由度,1,自由度が高くやる人それぞれによって違う楽しみ方ができる
自由度,1,会話の選択肢が広いし、めんどくさい奴だいたい殺しても破綻なくクリアできるようになっとる
自由度,1,自由にキャラメイクできた
自由度,-1,パーティ構成の自由はないなと思った。
自由度,1,選択肢や取った行動により違ってきたりするので面白い
自由度,1,"there's a lot of elements of choice with your actions. There is so much to do and so many options that each time you play, your experience will feel different."
自由度,1,キャラメイクがある程度可能。クエストを進めると、仲間になるNPCも鏡でキャラメイク可能。鏡のオブジェクトでステータス、スキルなどのフリ直しも可能。ヘルムの非表示が可能。
自由度,1,リスタートする度に、新たな宝箱を発見したり、同じ場面で違う展開になり、助けたいNPCが助けられなかったり、敵対したりで飽きがこない。
自由度,1,自由なロールプレイを感じた
自由度,1,多くのクラスがあり、制限されることなく自由にプレイスタイルを選べる
自由度,1,スキル振り直したい！ってなっても大丈夫です。そのうち振り直せる機会があります。
自由度,1,自分のやり方で自由にゲームをプレイできた
自由度,0,イベントの結果で取得経験値の量が変わる
自由度,1,サブクエストもたくさんあるので寄り道もし放題です
自由度,0,コントローラー設定だけを英語版にできた。
自由度,1,あなたの行動次第で運命は如何様にも変化する
自由度,1,環境を把握し、利用し、狡猾に相手を罠にはめるのだ
自由度,1,どんな局面でも様々な攻略法がある自由度の高いゲーム
自由度,1,steamワークショップにmodもたくさんあるので、いろいろな楽しみ方ができると思います
自由度,1,自由度の高いRPG好きなら是非やってほしい
自由度,-1,自由度を語るのであれば、善人であれる自由も認めてほしいものだ。このゲームにはそれがない。
自由度,1,戦略性、自由度ともに素晴らしい出来でかなり面白い
自由度,-1,初見プレイだと遊びを入れる余地が殆ど無い
自由度,0,クッソつまらない不自由なだけのゲームかというとそんなことはない。
自由度,1,自分のやり方で自由にゲームをプレイできた
自由度,-1,一匹狼プレイです
自由度,-1,なんか自由度ありそうで全然ない感じがしたのは気のせいかな？
自由度,1,目標に対して取れる行動の多さ、考えないと厳しい戦闘。
自由度,1,仲間を含めたキャラ育成の自由度が高く
自由度,1,豊富な選択肢があった
